price,postcode,property_subtype,rooms_number,area,terrace_area,garden_area,land_surface,facades_number,postcode_median_price,building_state_median_price,property_subtype_median_price,building_property_subtype_median_facades,property_subtype_median_facades,house_is_False,house_is_True,equipped_kitchen_has_False,equipped_kitchen_has_True,furnished_False,furnished_True,open_fire_False,open_fire_True,terrace_False,terrace_True,garden_False,garden_True,swimming_pool_has_False,swimming_pool_has_True,region_B,region_F,region_W,building_state_agg_good,building_state_agg_renovated,building_state_agg_to_renovate
330000.0,0.8196174377224199,0.5,0.5,0.7396340207233765,,0.0,0.482906719653351,0.6666666666666667,0.13813229571984437,1.0,0.5217601434654906,0.5,0.5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
460000.0,0.22241992882562278,0.7000000000000001,1.0,0.8859983522187238,,0.0,0.6103403245043638,0.6666666666666667,0.2311284046692607,0.0,0.5648048051961556,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
175000.0,0.3892348754448398,0.7000000000000001,0.3333333333333333,0.7137094348664281,,0.0,0.45667137606719804,0.6666666666666667,0.09980544747081711,1.0,0.5648048051961556,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
299000.0,0.6484653024911031,0.1,0.6666666666666666,0.8859983522187238,0.27303234033641116,0.00125,0.6785286508097412,0.6666666666666667,0.18210116731517512,0.8888888888888888,0.6481688507371262,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
348000.0,0.9564056939501778,0.7000000000000001,0.5,1.0,,0.0,0.6652346565823496,0.6666666666666667,0.10482490272373542,0.0,0.5648048051961556,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
390000.0,0.7451067615658362,0.5,0.6666666666666666,0.7887489388627447,0.7017461970325202,0.0,,0.6666666666666667,0.12451361867704282,0.8888888888888888,0.5217601434654906,0.5,0.5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
785000.0,0.02001779359430604,0.1,0.8333333333333333,0.7935865969439564,0.4904995423826053,0.003575,0.6523864849700278,0.6666666666666667,0.3852140077821012,0.0,0.6481688507371262,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1350000.0,0.004448398576512455,0.7000000000000001,0.5,0.9768096677175799,,0.0019,0.647597835574195,0.6666666666666667,0.4124513618677043,1.0,0.5648048051961556,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
285000.0,0.1545818505338078,0.5,0.6666666666666666,0.8173742283235395,,0.00125,0.585771887852768,0.6666666666666667,0.28404669260700394,1.0,0.5217601434654906,0.5,0.5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
490000.0,0.044483985765124565,0.7000000000000001,1.0,0.8859983522187238,0.45649642584121747,0.0,0.6878079833501961,0.6666666666666667,0.15953307392996108,1.0,0.5648048051961556,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
388000.0,0.00889679715302491,0.7000000000000001,0.5,0.8493004336322452,0.3908527555954897,0.001,0.6011075898835122,0.6666666666666667,0.15875486381322956,1.0,0.5648048051961556,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
425000.0,0.6227758007117438,0.7000000000000001,1.0,0.9645041417463238,,0.0,0.778850267704181,0.6666666666666667,0.1342412451361868,1.0,0.5648048051961556,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
199000.0,0.044483985765124565,0.7000000000000001,0.16666666666666666,0.725428796490639,,0.0,0.5315488856884498,0.6666666666666667,0.15953307392996108,0.8888888888888888,0.5648048051961556,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
