"Région","Province","Arrondissement","Commune","Année","Type de bâtiment","Prix médian","Nombre de ventes"
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2011","Appartements",134250,70
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2011","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",170000,185
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2012","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",175000,188
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2012","Maisons avec 4 ou plus de façades (type ouvert)",,5
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2012","Appartements",138500,55
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2012","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",175000,193
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2013","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",168000,185
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2013","Maisons avec 4 ou plus de façades (type ouvert)",,8
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2013","Appartements",151000,66
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2013","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",170000,193
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2014","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",180000,239
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2014","Maisons avec 4 ou plus de façades (type ouvert)",,11
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2014","Appartements",134000,93
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2014","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",180000,250
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2015","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",175500,184
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2015","Maisons avec 4 ou plus de façades (type ouvert)",,2
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2015","Appartements",148000,63
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2015","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",176750,186
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2016","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",178000,188
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2016","Maisons avec 4 ou plus de façades (type ouvert)",,7
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2016","Appartements",158300,95
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2016","Toutes les maisons avec 2, 3, 4 ou plus de façades (excl.",180000,195
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2017","Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",185000,214
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2017","Maisons avec 4 ou plus de façades (type ouvert)",,13
"Région flamande","Province d’Anvers","Arrondissement d’Anvers","Boom","2017","Appartements",150000,89
